type,distance_mean,distance_max,distance_min,surge_max,surge_mean,surge_min,api_calls
0,1.7266666666666666,3.03,1.04,1.5,1.0555555555555556,1.0,9.0
0,1.69,2.67,1.09,2.0,1.1,1.0,10.0
0,1.38,1.38,1.38,1.0,1.0,1.0,1.0
0,1.9209090909090911,3.08,1.39,1.75,1.1136363636363635,1.0,11.0
0,2.1225,3.01,1.07,1.5,1.0833333333333333,1.0,12.0
0,1.721666666666667,2.97,1.03,1.0,1.0,1.0,6.0
0,1.836666666666667,3.01,1.07,1.25,1.0208333333333333,1.0,12.0
0,2.144444444444444,3.01,1.06,2.0,1.2222222222222223,1.0,9.0
0,2.033333333333333,3.02,1.04,1.0,1.0,1.0,9.0
0,1.616,3.03,1.07,1.0,1.0,1.0,10.0
0,1.607777777777778,2.47,1.06,1.25,1.0277777777777777,1.0,9.0
0,1.801111111111111,2.99,1.07,1.0,1.0,1.0,9.0
0,1.5439999999999998,3.0,1.06,2.0,1.1166666666666667,1.0,15.0
0,1.717142857142857,2.46,1.35,1.25,1.0357142857142858,1.0,7.0
0,1.7228571428571429,3.01,1.06,1.0,1.0,1.0,7.0
0,2.201111111111111,3.03,1.06,1.0,1.0,1.0,9.0
0,2.0272222222222225,3.06,1.06,1.25,1.0138888888888888,1.0,18.0
0,1.6920689655172412,2.65,1.06,2.0,1.0603448275862069,1.0,29.0
0,1.9765217391304348,4.24,1.07,1.5,1.0217391304347827,1.0,23.0
0,1.9632000000000005,3.24,1.02,1.25,1.02,1.0,25.0
0,1.8084615384615383,2.49,1.05,1.0,1.0,1.0,13.0
0,1.7435714285714283,3.0,1.06,1.5,1.0357142857142858,1.0,14.0
0,1.7374074074074075,3.18,1.06,1.5,1.0555555555555556,1.0,27.0
0,1.9738461538461536,2.69,1.32,1.75,1.0576923076923077,1.0,13.0
0,1.5257142857142856,3.05,1.03,2.0,1.0982142857142858,1.0,28.0
0,1.7638888888888886,3.03,1.05,2.0,1.0972222222222223,1.0,18.0
0,1.8577777777777773,3.11,1.08,1.75,1.0277777777777777,1.0,27.0
0,1.62,2.64,1.04,2.0,1.1153846153846154,1.0,13.0
0,1.9012500000000003,2.99,1.06,2.0,1.109375,1.0,16.0
0,1.9076,3.02,1.05,2.0,1.07,1.0,25.0
0,1.8410526315789475,3.03,1.06,1.0,1.0,1.0,19.0
0,1.646296296296296,3.02,1.01,2.0,1.1388888888888888,1.0,27.0
0,1.8068,3.18,1.06,1.25,1.02,1.0,25.0
0,1.76,3.0,1.04,2.0,1.0952380952380951,1.0,21.0
0,2.048,3.04,1.06,2.0,1.14,1.0,25.0
0,1.8920000000000003,3.0,1.04,1.75,1.0666666666666669,1.0,15.0
0,1.8666666666666667,4.27,1.06,1.25,1.011904761904762,1.0,21.0
0,1.726470588235294,3.01,1.06,1.75,1.0441176470588236,1.0,17.0
0,1.6731250000000002,2.75,1.03,1.5,1.046875,1.0,16.0
0,1.803125,3.05,1.06,1.75,1.140625,1.0,16.0
0,1.9092857142857145,2.65,1.09,1.25,1.0178571428571428,1.0,14.0
0,1.6768421052631577,3.01,1.06,2.0,1.105263157894737,1.0,19.0
0,2.0421052631578944,3.0,1.04,1.25,1.0394736842105263,1.0,19.0
0,1.84,2.63,1.06,1.5,1.1875,1.0,4.0
0,2.26,2.26,2.26,1.0,1.0,1.0,1.0
0,1.85,2.31,1.39,1.0,1.0,1.0,2.0
0,1.6523076923076925,3.04,1.06,1.25,1.0192307692307692,1.0,13.0
0,1.7175000000000002,2.99,1.05,1.25,1.0234375,1.0,32.0
0,2.005128205128205,3.01,1.06,1.5,1.0320512820512822,1.0,39.0
0,1.7634615384615384,3.1,1.06,2.0,1.125,1.0,26.0
0,1.6258139534883724,3.0,1.03,1.75,1.069767441860465,1.0,43.0
0,1.885769230769231,3.0,1.08,1.75,1.0288461538461535,1.0,26.0
0,1.7999999999999998,3.02,1.06,2.0,1.118421052631579,1.0,38.0
0,1.932413793103448,4.31,1.06,2.0,1.103448275862069,1.0,29.0
0,1.894,3.16,1.01,2.0,1.1571428571428573,1.0,35.0
0,1.6316216216216215,3.14,1.04,2.0,1.0472972972972974,1.0,37.0
0,1.878695652173913,3.03,1.06,1.5,1.0434782608695652,1.0,23.0
0,1.446818181818182,2.33,1.08,1.5,1.0454545454545454,1.0,22.0
0,1.5357692307692308,2.97,1.04,2.0,1.1057692307692308,1.0,26.0
0,2.020555555555555,3.97,1.07,1.75,1.0555555555555556,1.0,36.0
0,1.7328205128205127,3.15,1.07,2.0,1.064102564102564,1.0,39.0
0,1.9291666666666665,3.0,1.05,2.0,1.0972222222222223,1.0,36.0
0,1.5913793103448275,2.65,1.06,1.5,1.0517241379310345,1.0,29.0
0,1.8,3.03,1.06,1.75,1.078125,1.0,32.0
0,1.674666666666667,3.0,1.06,2.0,1.15,1.0,30.0
0,1.848928571428572,3.05,1.06,1.75,1.0803571428571428,1.0,28.0
0,1.31,1.53,1.09,1.25,1.125,1.0,2.0
0,1.61375,2.62,1.08,1.5,1.0625,1.0,8.0
0,1.776923076923077,3.17,1.32,1.25,1.0192307692307692,1.0,13.0
0,2.06375,3.0,1.06,1.75,1.09375,1.0,8.0
0,1.5618181818181818,3.01,1.06,1.0,1.0,1.0,11.0
0,1.2875,1.39,1.08,1.25,1.0625,1.0,4.0
0,1.8327272727272728,3.04,1.03,2.0,1.181818181818182,1.0,11.0
0,1.9722222222222223,2.96,1.07,1.25,1.0277777777777777,1.0,9.0
0,1.828,3.29,1.06,2.0,1.175,1.0,10.0
0,2.13,3.17,1.32,2.0,1.25,1.0,7.0
0,1.550769230769231,2.31,1.08,1.0,1.0,1.0,13.0
0,1.8,2.64,1.32,1.5,1.1136363636363635,1.0,11.0
0,1.8772727272727272,3.04,1.05,2.0,1.0909090909090908,1.0,11.0
0,2.188571428571428,3.03,1.34,1.25,1.0714285714285714,1.0,7.0
0,1.928,3.01,1.06,1.0,1.0,1.0,10.0
0,1.7987499999999998,2.61,1.04,1.0,1.0,1.0,8.0
0,1.8172222222222223,3.0,1.06,2.0,1.0972222222222223,1.0,18.0
0,1.7759999999999998,2.63,1.04,2.0,1.15,1.0,10.0
0,1.94,3.02,1.06,1.25,1.0555555555555556,1.0,9.0
0,1.6158333333333337,2.97,1.05,2.0,1.0833333333333333,1.0,12.0
0,2.021333333333333,2.67,1.06,2.0,1.0666666666666669,1.0,15.0
0,2.0075,3.16,1.06,2.0,1.125,1.0,8.0
0,1.8142857142857145,3.06,1.06,1.0,1.0,1.0,7.0
0,2.0807692307692305,2.99,1.07,1.25,1.0192307692307692,1.0,13.0
0,1.7981249999999998,3.03,1.06,2.0,1.0625,1.0,16.0
0,1.5799999999999998,2.32,1.06,1.75,1.0909090909090908,1.0,11.0
0,1.6477777777777778,3.02,1.11,2.0,1.1666666666666667,1.0,9.0
0,1.7110526315789472,2.4,1.03,2.0,1.0921052631578947,1.0,19.0
0,1.6946153846153846,2.67,1.06,1.75,1.0769230769230769,1.0,13.0
0,1.732727272727273,3.0,1.08,1.75,1.068181818181818,1.0,11.0
0,1.8591666666666669,3.22,1.08,1.25,1.0625,1.0,12.0
0,1.8384615384615384,2.67,1.07,1.75,1.1153846153846154,1.0,13.0
0,1.7084615384615385,2.4,1.11,2.0,1.1346153846153846,1.0,13.0
0,1.9108333333333336,2.99,1.32,1.5,1.0625,1.0,12.0
0,2.012857142857143,3.02,1.06,2.0,1.1607142857142858,1.0,14.0
0,1.909166666666667,2.99,1.08,1.5,1.0833333333333333,1.0,12.0
0,1.6866666666666663,2.66,1.06,2.0,1.0833333333333333,1.0,15.0
0,1.54625,2.26,1.39,2.0,1.125,1.0,8.0
0,2.0263636363636364,3.04,1.07,2.0,1.0909090909090908,1.0,11.0
0,1.956666666666667,3.14,1.03,2.0,1.1458333333333333,1.0,12.0
0,1.9266666666666663,3.02,1.08,2.0,1.0833333333333333,1.0,12.0
0,1.923,3.03,1.07,1.5,1.075,1.0,10.0
0,1.618,2.4,1.4,1.0,1.0,1.0,5.0
0,1.56,2.43,1.03,1.0,1.0,1.0,11.0
0,1.5925,2.36,1.07,2.0,1.25,1.0,8.0
0,1.7275,3.18,1.03,1.5,1.0625,1.0,8.0
0,1.661111111111111,2.63,1.34,1.25,1.0277777777777777,1.0,9.0
0,2.0275,2.99,1.07,2.0,1.15625,1.0,16.0
0,1.5266666666666666,2.25,1.05,1.0,1.0,1.0,6.0
0,1.487857142857143,2.99,1.05,1.75,1.0714285714285714,1.0,14.0
0,1.9872727272727275,3.02,1.06,2.0,1.0909090909090908,1.0,11.0
0,1.613076923076923,2.32,1.32,2.0,1.0769230769230769,1.0,13.0
0,1.638888888888889,2.39,1.06,1.75,1.0833333333333333,1.0,9.0
0,1.671111111111111,2.64,1.07,1.0,1.0,1.0,9.0
0,1.8900000000000003,3.02,1.08,2.0,1.1666666666666667,1.0,6.0
0,1.6981818181818182,3.0,1.05,1.75,1.1136363636363635,1.0,11.0
0,1.832857142857143,3.01,1.06,1.5,1.0714285714285714,1.0,14.0
0,1.6149999999999998,2.32,1.33,1.25,1.05,1.0,10.0
0,1.987692307692308,3.03,1.06,1.0,1.0,1.0,13.0
0,1.9054545454545453,3.0,1.11,1.25,1.0227272727272727,1.0,11.0
0,1.7164285714285712,3.05,1.06,1.25,1.0357142857142858,1.0,14.0
0,1.761578947368421,3.01,1.06,2.0,1.0657894736842106,1.0,19.0
0,1.8092857142857144,2.98,1.07,1.25,1.0535714285714286,1.0,14.0
0,1.851,3.03,1.4,1.5,1.075,1.0,10.0
0,1.7588888888888892,2.97,1.04,1.0,1.0,1.0,9.0
0,1.7533333333333334,3.22,1.06,1.25,1.0555555555555556,1.0,9.0
0,1.6622222222222225,3.0,1.05,1.0,1.0,1.0,9.0
0,1.6781818181818182,3.02,1.05,2.0,1.1136363636363635,1.0,11.0
0,1.5625,2.95,1.03,2.0,1.125,1.0,8.0
0,1.7625000000000002,3.1,1.05,2.0,1.0833333333333333,1.0,12.0
0,1.4466666666666663,2.32,1.03,1.0,1.0,1.0,6.0
0,1.7046666666666668,3.0,1.05,2.0,1.1166666666666667,1.0,15.0
0,1.8083333333333336,2.97,1.37,1.75,1.1041666666666667,1.0,12.0
0,1.6392307692307695,3.14,1.03,1.5,1.0384615384615383,1.0,13.0
0,1.491428571428571,2.25,1.05,1.0,1.0,1.0,7.0
0,1.835,2.67,1.09,1.75,1.125,1.0,10.0
0,1.85625,3.17,1.11,1.75,1.1875,1.0,8.0
0,1.7645454545454546,3.17,1.08,1.75,1.1136363636363635,1.0,11.0
